issue,openTime,pool_full_size,pool_size_drop0,cover_full_drop0,hit_drop0_top15,hit_drop0_top20,hit_drop0_top25,hit_drop0_top30,hit_drop0_top40,pool_size_drop10,cover_full_drop10,hit_drop10_top15,hit_drop10_top20,hit_drop10_top25,hit_drop10_top30,hit_drop10_top40,pool_size_drop20,cover_full_drop20,hit_drop20_top15,hit_drop20_top20,hit_drop20_top25,hit_drop20_top30,hit_drop20_top40,pool_size_drop30,cover_full_drop30,hit_drop30_top15,hit_drop30_top20,hit_drop30_top25,hit_drop30_top30,hit_drop30_top40,pool_size_drop40,cover_full_drop40,hit_drop40_top15,hit_drop40_top20,hit_drop40_top25,hit_drop40_top30,hit_drop40_top40,pool_size_drop50,cover_full_drop50,hit_drop50_top15,hit_drop50_top20,hit_drop50_top25,hit_drop50_top30,hit_drop50_top40
2021027,2021-01-27,66,66,18,6,9,11,13,16,56,18,6,9,11,13,16,46,16,6,9,11,13,16,36,15,6,9,11,13,15,26,11,6,9,10,11,11,16,7,7,7,7,7,7
2021028,2021-01-28,65,65,17,7,7,10,11,13,55,16,7,7,10,11,13,45,14,7,7,10,11,13,35,12,7,7,10,11,12,25,9,7,7,9,9,9,15,5,5,5,5,5,5
2021029,2021-01-29,66,66,17,4,7,8,9,13,56,14,4,7,8,9,13,46,14,4,7,8,9,13,36,11,4,7,8,9,11,26,8,4,7,8,8,8,16,5,4,5,5,5,5
2021030,2021-01-30,65,65,14,4,5,6,7,10,55,14,4,5,6,7,10,45,11,4,5,6,7,10,35,8,4,5,6,7,8,25,5,4,5,5,5,5,15,3,3,3,3,3,3
2021031,2021-01-31,66,66,18,4,4,8,11,12,56,15,4,4,8,11,12,46,12,4,4,8,11,12,36,12,4,4,8,11,12,26,7,4,4,7,7,7,16,4,4,4,4,4,4
2021032,2021-02-01,68,68,15,5,5,6,7,9,58,11,5,5,6,7,9,48,10,5,5,6,7,9,38,9,5,5,6,7,9,28,7,5,5,7,7,7,18,5,5,5,5,5,5
2021033,2021-02-02,66,66,17,4,5,8,9,12,56,14,4,5,8,9,12,46,13,4,5,8,9,12,36,10,4,5,8,9,10,26,7,4,6,6,7,7,16,3,2,3,3,3,3
2021034,2021-02-03,68,68,17,3,4,6,7,12,58,16,3,4,6,7,12,48,14,3,4,6,7,12,38,11,3,4,6,7,11,28,7,3,4,5,7,7,18,5,4,5,5,5,5
2021035,2021-02-04,70,70,18,5,6,6,7,11,60,16,5,6,6,7,11,50,12,5,6,6,7,11,40,10,5,6,6,7,10,30,8,5,6,7,8,8,20,4,4,4,4,4,4
2021036,2021-02-05,68,68,19,5,7,9,11,14,58,18,5,7,9,11,14,48,14,5,7,9,11,14,38,13,5,7,9,11,13,28,10,5,7,9,10,10,18,5,4,5,5,5,5
2021037,2021-02-06,67,67,17,6,6,6,7,11,57,14,6,6,6,7,11,47,12,6,6,6,7,11,37,11,6,6,6,7,11,27,8,6,6,7,8,8,17,5,5,5,5,5,5
2021038,2021-02-07,69,69,17,2,6,7,9,11,59,14,2,6,7,9,11,49,11,2,6,7,9,11,39,10,2,6,7,9,10,29,7,2,6,7,7,7,19,5,3,5,5,5,5
2021039,2021-02-08,67,67,15,0,1,3,4,7,57,12,0,1,3,4,7,47,9,0,1,3,4,7,37,7,0,1,3,4,7,27,4,0,1,3,4,4,17,2,1,2,2,2,2
2021040,2021-02-19,70,70,16,7,7,7,8,11,60,15,7,7,7,8,11,50,12,7,7,7,8,11,40,10,7,7,7,8,10,30,7,7,7,7,7,7,20,5,5,5,5,5,5
2021041,2021-02-20,66,66,14,5,6,7,8,10,56,12,5,6,7,8,10,46,11,5,6,7,8,10,36,9,5,6,7,8,9,26,8,5,7,8,8,8,16,5,5,5,5,5,5
2021042,2021-02-21,63,63,15,8,8,8,9,9,53,13,8,8,8,9,9,43,10,8,8,8,9,9,33,9,8,8,8,9,9,23,8,8,8,8,8,8,13,6,6,6,6,6,6
2021043,2021-02-22,61,61,17,4,5,8,10,13,51,15,4,5,8,10,13,41,12,4,5,8,10,12,31,11,4,5,8,11,11,21,5,4,5,5,5,5,11,4,4,4,4,4,4
2021044,2021-02-23,66,66,15,1,1,2,4,6,56,13,1,1,2,4,6,46,9,1,1,2,4,6,36,6,1,1,2,4,6,26,2,1,1,2,2,2,16,1,1,1,1,1,1
2021045,2021-02-24,71,71,17,6,7,7,9,11,61,15,6,7,7,9,11,51,12,6,7,7,9,11,41,11,6,7,7,9,11,31,9,6,7,7,9,9,21,7,5,7,7,7,7
2021046,2021-02-25,66,66,16,6,6,6,6,8,56,13,6,6,6,6,8,46,10,6,6,6,6,8,36,7,6,6,6,6,7,26,7,6,6,6,7,7,16,5,5,5,5,5,5
2021047,2021-02-26,64,64,17,6,7,8,11,12,54,15,6,7,8,11,12,44,13,6,7,8,11,13,34,11,6,7,8,10,11,24,9,6,7,9,9,9,14,4,4,4,4,4,4
2021048,2021-02-27,65,65,17,3,6,7,9,10,55,16,3,6,7,9,10,45,12,3,6,7,9,10,35,10,3,6,7,9,10,25,8,3,5,8,8,8,15,4,4,4,4,4,4
2021049,2021-02-28,68,68,17,3,5,6,6,8,58,14,3,5,6,6,8,48,10,3,5,6,6,8,38,8,3,5,6,6,8,28,7,3,5,6,7,7,18,4,4,4,4,4,4
2021050,2021-03-01,67,67,16,4,5,7,9,11,57,15,4,5,7,9,11,47,12,4,5,7,9,11,37,11,4,5,7,9,11,27,7,4,5,7,7,7,17,5,4,5,5,5,5
2021051,2021-03-02,67,67,16,5,7,8,8,10,57,14,5,7,8,8,10,47,11,5,7,8,8,10,37,9,5,7,8,8,9,27,8,5,7,7,8,8,17,5,4,5,5,5,5
2021052,2021-03-03,65,65,18,4,4,5,6,9,55,12,4,4,5,6,9,45,9,4,4,5,6,9,35,7,4,4,5,6,7,25,5,4,4,5,5,5,15,3,3,3,3,3,3
2021053,2021-03-04,68,68,19,3,5,8,8,11,58,17,3,5,8,8,11,48,13,3,5,8,8,11,38,12,3,5,8,8,12,28,8,3,5,8,8,8,18,5,3,5,5,5,5
2021054,2021-03-05,69,69,17,4,5,5,7,11,59,16,4,5,5,7,11,49,14,4,5,5,7,11,39,11,4,5,5,7,11,29,8,4,5,5,8,8,19,3,3,3,3,3,3
2021055,2021-03-06,69,69,17,5,6,6,7,9,59,14,5,6,6,7,9,49,11,5,6,6,7,9,39,10,5,6,6,7,10,29,6,5,6,6,6,6,19,5,5,5,5,5,5
2021056,2021-03-07,67,67,17,5,6,8,9,11,57,14,5,6,8,9,11,47,12,5,6,8,9,11,37,10,5,6,8,9,10,27,7,5,6,7,7,7,17,4,4,4,4,4,4
2021057,2021-03-08,65,65,19,5,5,6,9,12,55,16,5,5,6,9,12,45,15,5,5,6,9,12,35,9,5,5,6,8,9,25,7,5,5,7,7,7,15,4,4,4,4,4,4
2021058,2021-03-09,70,70,20,4,6,7,8,9,60,17,4,6,7,8,9,50,14,4,6,7,8,9,40,9,4,6,7,8,9,30,7,4,6,7,7,7,20,6,5,6,6,6,6
2021059,2021-03-10,68,68,19,3,4,5,7,10,58,15,3,4,5,7,10,48,13,3,4,5,7,10,38,10,3,4,5,7,10,28,6,3,4,5,6,6,18,4,3,4,4,4,4
2021060,2021-03-11,70,70,17,4,5,8,8,13,60,16,4,5,8,8,13,50,14,4,5,8,8,13,40,13,4,5,8,8,13,30,11,4,5,8,11,11,20,6,4,6,6,6,6
